dataset,model,fold,size,split,f1,recall
cleveland,random_forest,4,24,val,0.6909090909090909,0.7037037037037037
cleveland,logistic_regression,4,24,train,0.9565217391304348,1.0
cleveland,logistic_regression,4,24,val,0.8421052631578947,0.8888888888888888
cleveland,random_forest,4,48,train,1.0,1.0
cleveland,random_forest,4,48,val,0.7450980392156863,0.7037037037037037
cleveland,logistic_regression,4,48,train,0.9130434782608695,0.9545454545454546
cleveland,logistic_regression,4,48,val,0.8148148148148148,0.8148148148148148
cleveland,random_forest,4,72,train,1.0,1.0
cleveland,random_forest,4,72,val,0.7346938775510204,0.6666666666666666
cleveland,logistic_regression,4,72,train,0.875,0.8484848484848485
cleveland,logistic_regression,4,72,val,0.8679245283018868,0.8518518518518519
cleveland,random_forest,4,96,train,0.9885057471264368,0.9772727272727273
cleveland,random_forest,4,96,val,0.8076923076923077,0.7777777777777778
cleveland,logistic_regression,4,96,train,0.8837209302325582,0.8636363636363636
cleveland,logistic_regression,4,96,val,0.8679245283018868,0.8518518518518519
cleveland,random_forest,4,121,train,0.9908256880733946,0.9818181818181818
cleveland,random_forest,4,121,val,0.8461538461538461,0.8148148148148148
cleveland,logistic_regression,4,121,train,0.8598130841121495,0.8363636363636363
cleveland,logistic_regression,4,121,val,0.8301886792452831,0.8148148148148148
cleveland,random_forest,4,145,train,0.9923664122137404,0.9848484848484849
cleveland,random_forest,4,145,val,0.7755102040816326,0.7037037037037037
cleveland,logistic_regression,4,145,train,0.8854961832061069,0.8787878787878788
cleveland,logistic_regression,4,145,val,0.8076923076923077,0.7777777777777778
cleveland,random_forest,4,169,train,0.987012987012987,0.987012987012987
cleveland,random_forest,4,169,val,0.7083333333333334,0.6296296296296297
cleveland,logistic_regression,4,169,train,0.8648648648648649,0.8311688311688312
cleveland,logistic_regression,4,169,val,0.8301886792452831,0.8148148148148148
cleveland,random_forest,4,193,train,0.9886363636363636,0.9886363636363636
cleveland,random_forest,4,193,val,0.7755102040816326,0.7037037037037037
cleveland,logistic_regression,4,193,train,0.8705882352941177,0.8409090909090909
cleveland,logistic_regression,4,193,val,0.8301886792452831,0.8148148148148148
cleveland,random_forest,4,217,train,0.9849246231155779,0.98989898989899
cleveland,random_forest,4,217,val,0.7843137254901961,0.7407407407407407
cleveland,logistic_regression,4,217,train,0.8571428571428571,0.8181818181818182
cleveland,logistic_regression,4,217,val,0.8148148148148148,0.8148148148148148
cleveland,random_forest,4,242,train,0.9821428571428571,0.990990990990991
cleveland,random_forest,4,242,val,0.7755102040816326,0.7037037037037037
cleveland,logistic_regression,4,242,train,0.8544600938967136,0.8198198198198198
cleveland,logistic_regression,4,242,val,0.8627450980392157,0.8148148148148148
cleveland,random_forest,5,24,train,1.0,1.0
cleveland,random_forest,5,24,val,0.7301587301587301,0.8214285714285714
cleveland,logistic_regression,5,24,train,1.0,1.0
cleveland,logistic_regression,5,24,val,0.8,0.8571428571428571
cleveland,random_forest,5,48,train,0.9777777777777777,1.0
cleveland,random_forest,5,48,val,0.819672131147541,0.8928571428571429
cleveland,logistic_regression,5,48,train,0.9545454545454546,0.9545454545454546
cleveland,logistic_regression,5,48,val,0.8214285714285714,0.8214285714285714
cleveland,random_forest,5,72,train,0.9850746268656716,1.0
cleveland,random_forest,5,72,val,0.8064516129032258,0.8928571428571429
cleveland,logistic_regression,5,72,train,0.9090909090909091,0.9090909090909091
cleveland,logistic_regression,5,72,val,0.8275862068965517,0.8571428571428571
cleveland,random_forest,5,96,train,0.9887640449438202,1.0
cleveland,random_forest,5,96,val,0.8333333333333334,0.8928571428571429
cleveland,logistic_regression,5,96,train,0.8863636363636364,0.8863636363636364
cleveland,logistic_regression,5,96,val,0.8275862068965517,0.8571428571428571
cleveland,random_forest,5,121,train,1.0,1.0
cleveland,random_forest,5,121,val,0.8333333333333334,0.8928571428571429
cleveland,logistic_regression,5,121,train,0.8468468468468469,0.8545454545454545
cleveland,logistic_regression,5,121,val,0.8135593220338984,0.8571428571428571
cleveland,random_forest,5,145,train,1.0,1.0
cleveland,random_forest,5,145,val,0.847457627118644,0.8928571428571429
cleveland,logistic_regression,5,145,train,0.8421052631578947,0.8484848484848485
cleveland,logistic_regression,5,145,val,0.8275862068965517,0.8571428571428571
cleveland,random_forest,5,169,train,1.0,1.0
cleveland,random_forest,5,169,val,0.8620689655172413,0.8928571428571429
cleveland,logistic_regression,5,169,train,0.8289473684210527,0.8181818181818182
cleveland,logistic_regression,5,169,val,0.8214285714285714,0.8214285714285714
cleveland,random_forest,5,193,train,0.9828571428571429,0.9772727272727273
cleveland,random_forest,5,193,val,0.8620689655172413,0.8928571428571429
cleveland,logistic_regression,5,193,train,0.8421052631578947,0.8181818181818182
cleveland,logistic_regression,5,193,val,0.8727272727272727,0.8571428571428571
cleveland,random_forest,5,217,train,0.9949238578680203,0.98989898989899
cleveland,random_forest,5,217,val,0.8571428571428571,0.8571428571428571
cleveland,logistic_regression,5,217,train,0.8421052631578947,0.8080808080808081
cleveland,logistic_regression,5,217,val,0.8571428571428571,0.8571428571428571
cleveland,random_forest,5,242,train,0.9818181818181818,0.9818181818181818
cleveland,random_forest,5,242,val,0.8928571428571429,0.8928571428571429
cleveland,logistic_regression,5,242,train,0.839622641509434,0.8090909090909091
cleveland,logistic_regression,5,242,val,0.8771929824561403,0.8928571428571429
cleveland,random_forest,6,24,train,1.0,1.0
cleveland,random_forest,6,24,val,0.7924528301886793,0.75
cleveland,logistic_regression,6,24,train,1.0,1.0
cleveland,logistic_regression,6,24,val,0.7719298245614035,0.7857142857142857
cleveland,random_forest,6,48,train,1.0,1.0
cleveland,random_forest,6,48,val,0.7636363636363637,0.75
cleveland,logistic_regression,6,48,train,0.9302325581395349,0.9090909090909091
cleveland,logistic_regression,6,48,val,0.7407407407407407,0.7142857142857143
cleveland,random_forest,6,72,train,0.9846153846153847,0.9696969696969697
cleveland,random_forest,6,72,val,0.7241379310344828,0.75
cleveland,logistic_regression,6,72,train,0.9375,0.9090909090909091
cleveland,logistic_regression,6,72,val,0.7777777777777778,0.75
cleveland,random_forest,6,96,train,0.9772727272727273,0.9772727272727273
cleveland,random_forest,6,96,val,0.7666666666666667,0.8214285714285714
cleveland,logistic_regression,6,96,train,0.9425287356321839,0.9318181818181818
cleveland,logistic_regression,6,96,val,0.7272727272727273,0.7142857142857143
cleveland,random_forest,6,121,train,0.9821428571428571,1.0
cleveland,random_forest,6,121,val,0.7719298245614035,0.7857142857142857
cleveland,logistic_regression,6,121,train,0.8888888888888888,0.8727272727272727
